LPE_TURBO_FREQUENCY_RATE_UOM,string,,GHz,GHz,GHz,GHz,,GHz,GHz,GHz,GHz,,GHz,GHz,,GHz
WIRED_LAN,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
weightUom,string,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
WAKE_ON_VOICE_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
WAKE_ON_TOUCH_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
VPU_TILE_CONFIG,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VPU_FMAX_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
VPU_FMAX,string,2.1,2.1,2.1,2.15,2.1,2.1,2.1,2.1,2.15,2.1,2.1,2.1,2.15,2.1,2.1
VIRTL_TECH_CD,string,"VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT"
VIRTL_MCHN_CTRL_STRC_SHDW_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
userItemType,string,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good
USBC_PORTS,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
