Group,Entity,UV_01,UV_02,UV_03,DIFF,UV_01_line,UV_02_line,UV_03_line,Symbolized,UV_01_symbols,UV_02_symbols,UV_03_symbols,OV_07,OV_08,OV_09,OV_07_line,OV_08_line,OV_09_line,OV_07_symbols,OV_08_symbols,OV_09_symbols,UV_01_CPU1,UV_02_CPU1,UV_03_CPU1,UV_01_CPU1_line,UV_02_CPU1_line,UV_03_CPU1_line,UV_01_CPU1_symbols,UV_02_CPU1_symbols,UV_03_CPU1_symbols,OV_07_CPU1,OV_08_CPU1,OV_09_CPU1,OV_07_CPU1_line,OV_08_CPU1_line,OV_09_CPU1_line,OV_07_CPU1_symbols,OV_08_CPU1_symbols,OV_09_CPU1_symbols
g0,<flow>,UV_01,UV_02,UV_03,DIFF,727,622,517,UV_0<s0>,s0=1,s0=2,s0=3,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV,,,PARTIAL,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.edc,KILL,,,PARTIAL,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.connectivity.R-2,Return -2,,,PARTIAL,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.connectivity.R-1,Return -1,,,PARTIAL,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.connectivity.R0,Return 0,,,PARTIAL,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.connectivity.R1,GoTo FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01,,,PARTIAL,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.param.ConfigurationFile,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.setpoints.json"",""./InputFiles/VLD_C1X.setpoints.json"")",,,PARTIAL,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_01_UV.param.SetPoint,CXX_Undervolt01,,,PARTIAL,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01,,,PARTIAL,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.edc,KILL,,,PARTIAL,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R-2,Return -2,,,PARTIAL,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R-1,Return -1,,,PARTIAL,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R0,Return 0,,,PARTIAL,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R1,GoTo FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE01,,,PARTIAL,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R2,Return 0,,,PARTIAL,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R3,Return 0,,,PARTIAL,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.connectivity.R4,Return 0,,,PARTIAL,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.Patlist,cpu_fuse_hvm_vld_vbump,,,PARTIAL,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.LevelsTc,BASE::cpu_all_bf_x_x_pkg_lvl_nom,,,PARTIAL,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.TimingsTc,BASE::pkg_cpu_fun_timing_mts100_tstprtclk50_tck100,,,PARTIAL,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.ConfigName,VLDReadFlow,,,PARTIAL,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_01.param.ConfigurationFile,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.fuseread.json"",""./InputFiles/VLD_C1X.fuseread.json"")",,,PARTIAL,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
